index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0311.smt2,,33,,1,,9,9,,1,,10,99,,157,,25,643,,175,,,,,,,113,258,173,9,,3,,,,,,3129.56,1061.49,unsat,5.73,0.15,0.01,0.04,0.01,0.08,2.92,1.20,0.43,0.00,0.44,0.33,0.11,3.42,0.78,,2.60,0.18,0.01,0.02,0.00,,0.00,0.20
chc-lia-0312.smt2,,,5,10,1,7,7,,5,,10,78,,87,,41,404,,114,,,,,,,68,203,102,,,,,,,330,,4519.76,1722.96,sat,54.31,2.67,0.15,0.85,0.07,1.65,44.77,0.94,36.56,0.00,0.57,0.48,0.23,48.04,10.06,,37.95,0.41,0.03,8.24,0.54,0.00,0.54,
chc-lia-0313.smt2,,,4,,,8,8,,,,,42,,26,,33,285,,73,,,,,,,53,145,65,,,,,,,,,2178.12,864.70,sat,31.62,1.31,0.06,0.27,0.03,0.97,26.22,4.86,17.50,0.00,0.58,0.47,0.20,28.12,7.77,,20.31,0.45,0.01,8.29,0.00,,0.00,
chc-lia-0314.smt2,,970,,85,2,66,65,,1224,,1031,2823,696,35103,60,369,99614,63,5650,,144,154,,,,6811,44969,10017,,387,,13,,692,23496,85,,9874.83,timeout,597.33,17.10,2.31,8.79,2.61,3.01,383.78,244.88,36.95,3.08,1.12,0.95,3.99,543.95,134.34,,409.15,11.98,58.52,47.03,187.18,0.00,187.18,5.45
chc-lia-0315.smt2,,153,,,,3,3,,,,,157,,1,,,81,,169,,,,,,,126,6,169,3,,2,,,,,,7785.16,2548.88,unsat,92.13,1.77,0.07,0.36,0.04,1.29,74.06,4.49,53.49,0.00,0.65,0.48,2.68,81.12,7.24,,73.87,4.61,0.02,29.13,0.00,,0.00,0.44
chc-lia-0316.smt2,,,1,,,1,1,,,,,5,,,,4,8,,6,,,,,,,5,7,4,,,,,,,,,2510.68,1352.82,sat,44.94,1.85,0.07,1.13,0.02,0.66,19.58,0.91,1.28,,0.51,0.47,0.03,21.58,13.22,,8.35,0.14,0.00,0.00,0.00,,0.00,
chc-lia-0317.smt2,,,1,,,3,3,,,,,6,,1,,5,9,,13,,,,,,,7,2,9,,,,,,,,,1234.68,602.36,sat,15.77,0.35,0.01,0.06,0.00,0.27,11.33,0.06,9.78,0.00,0.38,0.29,0.01,11.71,8.23,,3.47,0.01,0.00,0.48,0.00,,0.00,
chc-lia-0318.smt2,,368,31,16,1,34,34,,174,,92,114,18,148,,175,3641,10,471,,19,18,,,,353,2596,525,,162,,,,8,2883,12,4556.04,1939.96,sat,151.90,8.32,0.60,3.23,0.35,4.36,123.45,49.44,61.46,0.03,0.56,0.50,2.83,142.16,39.47,,102.53,4.58,1.84,5.33,42.19,0.00,42.19,5.25
chc-lia-0319.smt2,,271,,1,1,5,5,,1,,1,257,1,49,,12,531,,285,,,,,,,257,213,285,5,,3,,,,49,,10380.76,3217.98,unsat,142.11,4.59,0.24,1.98,0.11,2.29,114.18,4.44,90.74,0.00,0.66,0.54,3.10,125.04,16.37,,108.65,5.64,0.04,18.83,7.21,0.00,7.21,0.62
chc-lia-0321.smt2,,10,,577,2,108,107,,43,,2,318,,2932,34,,10808,237,1388,,107,439,,,,712,6016,3532,,939,,861,,95,14771,45,,888.41,timeout,598.07,2.59,0.44,1.12,0.42,0.59,270.68,215.09,2.70,0.86,0.64,0.52,5.73,549.99,38.27,,511.14,14.65,113.69,0.08,282.36,0.02,282.36,1.47
chc-lia-0323.smt2,,103,,,,3,3,,,,,105,,1,,,139,,110,,,,,,,102,69,110,3,,2,,,,,,9236.76,2915.77,unsat,119.96,2.13,0.09,0.44,0.04,1.57,94.73,5.23,73.45,0.00,0.64,0.52,2.80,102.67,7.89,,94.77,5.12,0.04,34.52,0.00,,0.00,0.71
chc-lia-0328.smt2,,44,,15,1,9,9,,23,,33,459,27,288,,50,2378,1,698,,7,47,,,,626,1389,747,9,5,1,,,7,1742,,21103.00,5963.56,unsat,265.10,3.53,0.21,0.91,0.13,2.26,243.52,149.26,76.66,0.01,0.88,0.58,2.75,253.71,9.87,,243.78,4.62,0.48,23.21,169.34,0.00,169.34,1.15
