index,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
chc-lia-0425.smt2,,,12,12,46,139,24,304,2,168,24,119,155,,,90.60,60.63,sat,1.49,1.22,0.70,,0.01,0.00,0.00,0.03,1.43,0.17,,1.23,0.07,0.69,
chc-lia-0426.smt2,,,12,12,46,116,36,531,2,170,95,325,157,,,132.96,84.12,sat,1.88,1.56,0.89,,0.01,0.00,0.00,0.04,1.81,0.35,,1.43,0.09,0.79,
chc-lia-0427.smt2,,,20,20,64,104,29,784,,232,164,562,219,,,157.16,110.23,sat,2.25,1.84,0.77,,0.01,0.00,0.00,0.05,2.17,0.78,,1.33,0.12,0.58,
chc-lia-0428.smt2,,,,89,179,7709,,7906,,7177,333,9,7087,,,,200.31,timeout,594.44,564.93,254.01,,0.74,0.00,0.00,3.51,582.58,2.48,,579.82,10.49,209.31,
chc-lia-0429.smt2,,1,2,2,4,,5,9,,8,7,6,7,,,18.44,7.32,sat,0.03,0.01,0.00,0.00,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00
chc-lia-0430.smt2,,,,78,158,6082,1,6244,,6242,159,4,6163,,,,240.57,timeout,595.56,549.85,181.51,,0.39,0.00,0.00,2.90,563.26,1.46,,561.56,7.79,127.27,
chc-lia-0431.smt2,,,,79,160,6239,1,6403,,6401,160,4,6321,,,,202.39,timeout,595.03,565.12,184.41,,0.40,0.00,0.00,3.13,579.03,1.46,,577.32,8.19,134.66,
chc-lia-0432.smt2,,,,1,2,,2,1,,3,2,1,1,,,21.72,7.84,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
chc-lia-0433.smt2,,,,1,2,,2,1,,3,2,1,1,,,21.72,7.83,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
chc-lia-0434.smt2,,,,90,183,8187,1,8373,,8283,182,4,8192,,,,190.46,timeout,595.11,560.34,197.59,,0.61,0.00,0.00,6.62,585.04,1.82,,582.94,16.46,135.66,
chc-lia-0435.smt2,,,2,2,3,,2,3,,5,2,1,2,,,21.68,7.88,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
chc-lia-0436.smt2,,,2,2,3,,2,3,,5,2,1,2,,,21.68,7.87,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
